,DESCRICAO_UE,SIGLA_UE,SIGLA_UF,ano,mulher_ver,total_ver,mulher_ele,total_ele,prop_cm,prop_me,ln_prop_cm,ln_prop_me
2851,COLONIA LEOPOLDINA,27413,AL,2004,8,44,4,8,18.18182,50,2.90042219374966,3.91202300542815
2902,COQUEIRO SECO,27430,AL,2004,14,54,0,7,25.92593,0,3.25524362618192,0
2964,CORURIPE,27456,AL,2004,19,73,1,6,26.0274,16.66667,3.25914982926929,2.81341091676002
3050,CRAIBAS,28894,AL,2004,11,61,0,5,18.03279,0,2.89219176734041,0
3131,DELMIRO GOUVEIA,27472,AL,2004,13,60,0,8,21.66667,0,3.07577513507367,0
3198,DOIS RIACHOS,27499,AL,2004,4,33,2,8,12.12121,25,2.49495681064149,3.2188758248682
3244,ESTRELA DE ALAGOAS,27049,AL,2004,14,60,2,8,23.33333,25,3.1498828105241,3.2188758248682
3310,FEIRA GRANDE,27510,AL,2004,4,27,1,8,14.81481,12.5,2.6956273561036,2.52572864430826
3345,FELIZ DESERTO,27537,AL,2004,8,41,0,6,19.5122,0,2.97103991096359,0
3399,FLEXEIRAS,27553,AL,2004,11,57,0,5,19.29825,0,2.96001441822461,0
3468,GIRAU DO PONCIANO,27570,AL,2004,14,60,0,5,23.33333,0,3.1498828105241,0
3542,IBATEGUARA,27596,AL,2004,17,66,1,7,25.75758,14.28571,3.24872895272375,2.65925973693273
3631,IGACI,27618,AL,2004,8,48,0,8,16.66667,0,2.81341091676002,0
3684,IGREJA NOVA,27634,AL,2004,5,44,0,7,11.36364,0,2.43041878450388,0
3734,INHAPI,27650,AL,2004,6,49,0,7,12.2449,0,2.50510952377217,0
3806,JACARE DOS HOMENS,27677,AL,2004,8,33,2,8,24.24242,25,3.18810399120143,3.2188758248682
3852,JACUIPE,27693,AL,2004,11,55,1,7,20,14.28571,2.99573227355399,2.65925973693273
3916,JAPARATINGA,27715,AL,2004,10,50,1,7,20,14.28571,2.99573227355399,2.65925973693273
3977,JARAMATAIA,27731,AL,2004,6,28,3,8,21.42857,37.5,3.06472507837427,3.62434093297637
4015,JEQUIA DA PRAIA,27065,AL,2004,9,54,1,8,16.66667,12.5,2.81341091676002,2.52572864430826
4073,JOAQUIM GOMES,27758,AL,2004,13,56,0,6,23.21429,0,3.14476803732985,0
4142,JUNDIA,27774,AL,2004,8,61,1,7,13.11475,14.28571,2.57373755099457,2.65925973693273
4216,JUNQUEIRO,27790,AL,2004,6,34,1,7,17.64706,14.28571,2.87056919726665,2.65925973693273
4254,LAGOA DA CANOA,27812,AL,2004,4,37,3,8,10.81081,37.5,2.38054655946375,3.62434093297637
4303,LIMOEIRO DE ANADIA,27839,AL,2004,5,33,0,8,15.15152,0,2.71810085695566,0
4342,MACEIO,27855,AL,2004,60,353,0,15,16.99717,0,2.83304685961021,0
4751,MAJOR ISIDORO,27871,AL,2004,10,47,3,8,21.2766,37.5,3.05760787727206,3.62434093297637
4818,MAR VERMELHO,27979,AL,2004,4,37,1,6,10.81081,16.66667,2.38054655946375,2.81341091676002
4861,MARAGOGI,27898,AL,2004,17,73,1,7,23.28767,14.28571,3.14792403595474,2.65925973693273
4945,MARAVILHA,27910,AL,2004,9,49,1,8,18.36735,12.5,2.91057463188034,2.52572864430826
5004,MARECHAL DEODORO,27936,AL,2004,24,96,1,7,25,14.28571,3.2188758248682,2.65925973693273
5112,MARIBONDO,27952,AL,2004,12,53,3,8,22.64151,37.5,3.11978494722397,3.62434093297637
5177,MATA GRANDE,27995,AL,2004,3,28,0,8,10.71429,0,2.37157836448092,0
